UserGenere,UserAge,UserExperience,UserGlassesUse,UserVisionProblems,UserEyeDominance,RegionOfInterest,TimeStamp,PlayerSpeed,PlayerAcceleration,CameraRotationX,CameraRotationY,CameraRotationZ,PlayerPositionX,PlayerPositionY,PlayerPositionZ,GameFps,DiscomfortLevel
1,0,1,0,0,0,0,0.0110195,0,0,-0.1488972,0.04975222,-0.04634059,-59.98957,8.56395,-66.94204,0,0
1,0,1,0,0,0,1,1.005759,0,0,-0.109259,-0.08975989,-0.04323979,-60.03835,8.560572,-66.94463,90,0
1,0,1,0,0,0,1,2.00784,0,0,-0.1121738,-0.1306626,-0.04994086,-60.03866,8.560583,-66.94463,90,0
1,0,1,0,0,0,1,3.007802,0,0,-0.1108004,-0.1487084,-0.03738239,-60.03885,8.560567,-66.94463,90,0
1,0,1,0,0,0,1,4.007293,0,0,-0.1109796,-0.1626089,-0.03240728,-60.03904,8.560556,-66.94463,90,0
1,0,1,0,0,0,1,5.008187,0,0,-0.1112581,-0.1751826,-0.03050685,-60.03923,8.560542,-66.94463,90,0
1,0,1,0,0,0,1,6.008643,0,0,-0.1124597,-0.185737,-0.02956112,-60.03942,8.560529,-66.94463,90,0
1,0,1,0,0,0,1,7.009022,0,0,-0.1116194,-0.1940289,-0.02888527,-60.03962,8.560513,-66.94463,90,0
1,0,1,0,0,0,1,8.008588,11,11,-0.1126641,-0.2058878,-0.02841911,-60.11259,8.465539,-66.15076,90,0
1,0,1,0,0,0,1,9.008896,28,17,-0.1264012,-0.1966047,-0.04142126,-59.64449,7.782237,-60.45132,90,0
1,0,1,0,0,0,0,10.00913,50,22,-0.1497844,-0.1779889,-0.02880186,-59.46691,6.012506,-49.61108,88,0
1,0,1,0,0,0,0,11.01103,71,21,-0.108229,-0.03284191,-0.05041289,-60.14251,3.126337,-32.7522,90,0
1,0,1,0,0,0,0,12.01013,89,18,-0.05214035,0.3985478,-0.03374654,-73.1859,0.8713903,-15.39278,88,0
1,0,1,0,0,0,0,13.01072,99,10,-0.02875802,0.9497756,-0.03971451,-95.42825,0.8771716,-22.76347,88,0
1,0,1,0,0,0,1,14.01103,110,11,-0.04529241,0.9961241,-0.04218959,-95.57819,1.911214,-51.14177,90,0
1,0,1,0,0,0,1,15.0121,120,10,-0.03092934,0.9786552,-0.05042068,-95.93799,2.694762,-82.69555,90,0
1,0,1,0,0,0,0,16.00964,127,7,-0.04931531,0.8757824,-0.01963196,-100.8223,4.018632,-116.0984,90,0
1,0,1,0,0,0,0,17.01035,135,8,-0.0330944,0.1128952,-0.05316507,-131.9047,5.847815,-121.0422,90,0
1,0,1,0,0,0,0,18.01051,142,7,-0.00401134,-0.7590204,0.1004017,-120.9237,8.75686,-92.00615,90,0
1,0,1,0,0,0,0,19.0111,45,-97,0.05228507,-0.8703347,0.09491918,-106.5344,9.871296,-82.62865,90,0
1,0,1,0,0,0,0,20.01075,68,23,0.03939227,0.2301231,-0.04842463,-111.4022,11.43348,-68.96313,88,0
1,0,1,0,0,0,0,21.00977,10,-58,0.03469706,0.2320702,-0.06198895,-104.7866,11.2738,-67.90167,90,0
1,0,1,0,0,0,1,22.0112,5,-5,0.02335542,0.2235644,-0.04721181,-104.3692,11.24483,-68.06496,90,0
1,0,1,0,0,0,1,23.01091,15,10,0.02739066,0.3976362,-0.05373602,-104.6691,11.52128,-64.8104,90,0
1,0,1,0,0,0,1,24.0096,29,14,0.02568497,0.5683023,-0.06279806,-102.3246,11.82344,-59.1298,90,0
1,0,1,0,0,0,1,25.01049,44,15,0.03958968,0.6357524,-0.0646185,-95.06325,11.82503,-52.06867,90,0
1,0,1,0,0,0,1,26.01068,60,16,0.04690686,0.7118171,-0.06220077,-84.43109,11.57309,-42.1729,90,0
1,0,1,0,0,0,1,27.01039,75,15,0.04828191,0.7172797,-0.05328422,-69.49557,10.94761,-30.70267,90,0
1,0,1,0,0,0,1,28.01047,85,10,0.05001369,0.7430549,-0.03359577,-48.20544,10.24642,-21.92171,88,0
1,0,1,0,0,0,0,29.01056,48,-37,0.05853089,0.7934737,-0.04873436,-33.63402,9.934022,-14.8231,88,0
1,0,1,0,0,0,0,30.01037,66,18,0.0726655,0.9015229,-0.03961689,-18.06943,8.917609,-12.12276,88,0
1,0,1,0,0,0,0,31.01037,83,17,0.07885912,0.9920848,-0.01147783,0.8456532,7.588014,-19.31488,90,0
1,0,1,0,0,0,0,32.01043,96,13,0.02661107,0.9805327,-0.01649424,14.83363,7.424871,-39.74257,90,0
1,0,1,0,0,0,0,33.01025,107,11,-0.02687423,0.9560177,-0.02745401,19.51359,8.635145,-67.65221,90,0
1,0,1,0,0,0,1,34.01165,117,10,-0.0394886,0.923679,-0.04084608,13.5819,10.16425,-98.10528,90,0
1,0,1,0,0,0,1,35.01178,126,9,-0.07454644,0.8042945,-0.003786358,3.14165,11.64969,-130.0021,90,0
1,0,1,0,0,0,1,36.01152,80,-46,-0.05981854,0.830442,-0.0002224073,-25.65422,13.45942,-145.5561,90,0
1,0,1,0,0,0,0,37.01201,27,-53,-0.01293016,0.9972521,-0.007340145,-19.01878,14.50831,-156.195,90,0
1,0,1,0,0,0,0,38.01177,18,-9,-0.04028798,0.9444234,-0.002330308,-17.34799,14.71755,-158.4057,90,0
1,0,1,0,0,0,1,39.01201,2,-16,-0.01348766,0.979075,0.01901247,-18.45859,14.48371,-155.9982,90,0
1,0,1,0,0,0,0,40.01328,13,11,-0.03180772,0.9441186,0.0155249,-17.71658,14.61952,-157.4086,90,0
1,0,1,0,0,0,0,41.01098,9,-4,-0.05022974,0.8669627,0.01584283,-17.91259,14.90902,-160.1469,90,0
1,0,1,0,0,0,0,42.01181,9,0,-0.05649487,0.8523108,0.01566097,-18.15822,14.96663,-160.5974,90,0
1,0,1,0,0,0,0,43.011,1,-8,-0.07439879,0.8317393,0.01248044,-18.5661,15.02056,-161.0309,90,0
1,0,1,0,0,0,0,44.01217,0,-1,-0.07602815,0.8577411,0.001307781,-18.53392,14.97241,-160.6052,90,0
1,0,1,0,0,0,0,45.01147,1,1,-0.05247579,0.8136922,0.009622972,-19.01793,15.09955,-161.6397,90,0
1,0,1,0,0,0,0,46.01141,2,1,-0.08141655,0.8284549,0.008239456,-19.01538,15.06404,-161.3778,90,0
1,0,1,0,0,0,0,47.01147,3,1,-0.07766393,0.8365813,0.007392606,-18.90437,14.97555,-160.6322,90,0
1,0,1,0,0,0,0,48.011,0,-3,-0.07300381,0.8393372,0.006780014,-18.78821,14.89045,-159.8568,90,0
1,0,1,0,0,0,1,49.01306,15,15,-0.06638563,0.7272112,0.004063465,-19.8073,15.11698,-161.7902,90,0
1,0,1,0,0,0,1,50.01255,7,-8,-0.07924277,0.6254755,0.006704461,-21.36247,15.24337,-162.7551,90,0
